Codigo,Vereda,Dirección,Avaluo,Predial
20096000,2,SANTANA VDA RIQUE,3992000,151040000000000000000000000000
20096000,2,SANTANA VDA RIQUE,3992000,151040000000000000000000000000
20097000,2,SAN CARLOS VDA RIQUE,9688000,151040000000000000000000000000
20098000,2,TIERRA PROMETIDA VDA RIQUE,21071000,151040000000000000000000000000
20099000,2,EL EUCALIPTUS VDA RIQUE,586000,151040000000000000000000000000
20100000,2,LOS CAMARONES VDA RIQUE,1757000,151040000000000000000000000000
20101000,2,EL RESBALON VDA RIQUE,3136000,151040000000000000000000000000
20102000,2,EL SAUZAL VDA HUERTA CHICA,13078000,151040000000000000000000000000
20102000,2,EL SAUZAL VDA HUERTA CHICA,13078000,151040000000000000000000000000
20102000,2,EL SAUZAL VDA HUERTA CHICA,13078000,151040000000000000000000000000
20103000,2,SAN JOSE VDA RIQUE,2931000,151040000000000000000000000000
20104000,2,EL CASCAJAL VDA RIQUE,3752000,151040000000000000000000000000
20105000,2,EL PORVENIR VDA HUERTA CHICA,11149000,151040000000000000000000000000
20106000,2,LA ESPERANZA VDA RIQUE,11944000,151040000000000000000000000000
20107000,2,LA VEGA VDA RIQUE,943000,151040000000000000000000000000
20108000,2,LOS ARRAYANES VDA RIQUE,754000,151040000000000000000000000000
20109000,2,LAS CASITAS VDA RIQUE,974000,151040000000000000000000000000
20110000,2,EL OLVIDO VDA RIQUE,1230000,151040000000000000000000000000
20110000,2,EL OLVIDO VDA RIQUE,1230000,151040000000000000000000000000
20111000,2,EL LLANO VDA RIQUE,1162000,151040000000000000000000000000
20112000,2,EL LLANO VDA RIQUE,1571000,151040000000000000000000000000
20112000,2,EL LLANO VDA RIQUE,1571000,151040000000000000000000000000
20113000,2,EL NARANJO VDA RIQUE,3859000,151040000000000000000000000000
20114000,2,SANTA CLARA VDA RIQUE,2053000,151040000000000000000000000000
20115000,2,EL LAUREL VDA RIQUE,6570000,151040000000000000000000000000
20115000,2,EL LAUREL VDA RIQUE,6570000,151040000000000000000000000000
20116000,2,LA CABANITA VDA RIQUE,14081000,151040000000000000000000000000
20117000,2,LA MESETA VDA RIQUE,4110000,151040000000000000000000000000
20118000,2,LA FLORIDA VDA RIQUE,12066000,151040000000000000000000000000
20118000,2,LA FLORIDA VDA RIQUE,12066000,151040000000000000000000000000
20118000,2,LA FLORIDA VDA RIQUE,12066000,151040000000000000000000000000
20118000,2,LA FLORIDA VDA RIQUE,12066000,151040000000000000000000000000
20119000,2,EL SECRETO VDA RIQUE,2053000,151040000000000000000000000000
20120000,2,LA QUEBRADA VDA RIQUE,2391000,151040000000000000000000000000
20121000,2,EL PARAISO VDA RIQUE,3788000,151040000000000000000000000000
20121000,2,EL PARAISO VDA RIQUE,3788000,151040000000000000000000000000
20122000,2,EL PIEDRON VDA RIQUE,2598000,151040000000000000000000000000
20123000,2,EL RECREO VDA RIQUE,1009000,151040000000000000000000000000
20124000,2,EL PIEDRON VDA RIQUE,1606000,151040000000000000000000000000
20124000,2,EL PIEDRON VDA RIQUE,1606000,151040000000000000000000000000
